"filename", "language", "JSON", "JavaScript", "CSS", "Log", "XML", "JSON with Comments", "TypeScript", "comment", "blank", "total"
"d:\HCMUT\HK222\CSE_project\CSE_android\src\component\RangeButton.js", "JavaScript", 0, 92, 0, 0, 0, 0, 0, 0, 8, 100
"d:\HCMUT\HK222\CSE_project\CSE_android\src\component\TabNavigator.js", "JavaScript", 0, 184, 0, 0, 0, 0, 0, 2, 10, 196
"d:\HCMUT\HK222\CSE_project\CSE_android\src\component\TimeButton.js", "JavaScript", 0, 46, 0, 0, 0, 0, 0, 0, 5, 51
"d:\HCMUT\HK222\CSE_project\CSE_android\src\component\modeSettingBlock.js", "JavaScript", 0, 119, 0, 0, 0, 0, 0, 0, 6, 125
"d:\HCMUT\HK222\CSE_project\CSE_android\src\config\condition.js", "JavaScript", 0, 18, 0, 0, 0, 0, 0, 0, 2, 20
"d:\HCMUT\HK222\CSE_project\CSE_android\src\config\device.js", "JavaScript", 0, 12, 0, 0, 0, 0, 0, 0, 2, 14
"d:\HCMUT\HK222\CSE_project\CSE_android\src\config\index.js", "JavaScript", 0, 9, 0, 0, 0, 0, 0, 0, 2, 11
"d:\HCMUT\HK222\CSE_project\CSE_android\src\config\ipCOnfig.js", "JavaScript", 0, 1, 0, 0, 0, 0, 0, 0, 1, 2
"d:\HCMUT\HK222\CSE_project\CSE_android\src\config\mode.js", "JavaScript", 0, 58, 0, 0, 0, 0, 0, 0, 4, 62
"d:\HCMUT\HK222\CSE_project\CSE_android\src\config\routes.js", "JavaScript", 0, 8, 0, 0, 0, 0, 0, 0, 2, 10
"d:\HCMUT\HK222\CSE_project\CSE_android\src\context\modeSettingContext.js", "JavaScript", 0, 3, 0, 0, 0, 0, 0, 1, 3, 7
"d:\HCMUT\HK222\CSE_project\CSE_android\src\context\socketContext.js", "JavaScript", 0, 6, 0, 0, 0, 0, 0, 1, 3, 10
"d:\HCMUT\HK222\CSE_project\CSE_android\src\hooks\index.js", "JavaScript", 0, 1, 0, 0, 0, 0, 0, 0, 1, 2
"d:\HCMUT\HK222\CSE_project\CSE_android\src\hooks\useDebounce.js", "JavaScript", 0, 12, 0, 0, 0, 0, 0, 1, 6, 19
"d:\HCMUT\HK222\CSE_project\CSE_android\src\screens\DashboardScreen.js", "JavaScript", 0, 288, 0, 0, 0, 0, 0, 9, 12, 309
"d:\HCMUT\HK222\CSE_project\CSE_android\src\screens\DetectionScreen.js", "JavaScript", 0, 97, 0, 0, 0, 0, 0, 0, 7, 104
"d:\HCMUT\HK222\CSE_project\CSE_android\src\screens\DeviceScreen.js", "JavaScript", 0, 68, 0, 0, 0, 0, 0, 1, 3, 72
"d:\HCMUT\HK222\CSE_project\CSE_android\src\screens\ModeScreen.js", "JavaScript", 0, 118, 0, 0, 0, 0, 0, 9, 9, 136
"d:\HCMUT\HK222\CSE_project\CSE_android\src\screens\SercurityScreen.js", "JavaScript", 0, 75, 0, 0, 0, 0, 0, 19, 6, 100
"d:\HCMUT\HK222\CSE_project\CSE_android\src\screens\index.js", "JavaScript", 0, 5, 0, 0, 0, 0, 0, 0, 1, 6
"d:\HCMUT\HK222\CSE_project\CSE_android\src\utils\dateTime.js", "JavaScript", 0, 16, 0, 0, 0, 0, 0, 0, 1, 17
"d:\HCMUT\HK222\CSE_project\CSE_android\src\utils\http.js", "JavaScript", 0, 22, 0, 0, 0, 0, 0, 0, 6, 28
"d:\HCMUT\HK222\CSE_project\CSE_android\tailwind.config.js", "JavaScript", 0, 3, 0, 0, 0, 0, 0, 11, 0, 14
"d:\HCMUT\HK222\CSE_project\CSE_android\tailwind.css", "CSS", 0, 0, 392, 0, 0, 0, 0, 0, 119, 511
"d:\HCMUT\HK222\CSE_project\CSE_android\tailwind.json", "JSON", 658, 0, 0, 0, 0, 0, 0, 0, 0, 658
"d:\HCMUT\HK222\CSE_project\CSE_android\yarn-error.log", "Log", 0, 0, 0, 8125, 0, 0, 0, 0, 1245, 9370
"Total", "-", 23714, 275, 393, 8125, 23, -14, -1102, -112, 1223, 32525
